TokenId,Airdrop receiver,Owner,ProjectId,Is still in airdrop wallet
2261,0xa6e95dc68f0253f0055223e376d7f2ae47c8281d,0xa6e95dc68f0253f0055223e376d7f2ae47c8281d,14,TRUE
2262,0xa71000e72d38e6a84d7190f59fd3dfc73931c0e8,0xa71000e72d38e6a84d7190f59fd3dfc73931c0e8,0,TRUE
2263,0xa714b790996b2dbb8a3242a402335e0514ec25f2,0xa714b790996b2dbb8a3242a402335e0514ec25f2,17,TRUE
2264,0xa72056b345269780f8e6eed9d02c31e9cad10f86,0xa72056b345269780f8e6eed9d02c31e9cad10f86,6,TRUE
2265,0xa72aa3303c11c27dd5cf575cea2c308ed7e4b81a,0x64da04b84bab76ee74a05e8f775e039fd1b7e070,8,FALSE
2266,0xa75b7c9781dd52298b3aa4c238a7fe84be90cbdf,0xa75b7c9781dd52298b3aa4c238a7fe84be90cbdf,9,TRUE
2267,0xa75b7c9781dd52298b3aa4c238a7fe84be90cbdf,0xa75b7c9781dd52298b3aa4c238a7fe84be90cbdf,9,TRUE
2268,0xa7652f355c12a5a24ac1865218361704d02cc0a4,0xa7652f355c12a5a24ac1865218361704d02cc0a4,6,TRUE
2269,0xa76b432e66bf1bbf933fc56817cf5e9c10ae351e,0xa76b432e66bf1bbf933fc56817cf5e9c10ae351e,14,TRUE
2270,0xa79db9845d9ec3b40681594e3e8fbe72778f1ea1,0xa79db9845d9ec3b40681594e3e8fbe72778f1ea1,1,TRUE
2271,0xa7deb64aa77677203b62d6b4ecec393cb929d2f2,0x5f31e690be2b394f1c8d569239b16450cb59b15f,18,FALSE
2272,0xa7f6ac5970fb743c07471e36ecb9347c141df7e4,0xa7f6ac5970fb743c07471e36ecb9347c141df7e4,8,TRUE
2273,0xa7f6ac5970fb743c07471e36ecb9347c141df7e4,0xa7f6ac5970fb743c07471e36ecb9347c141df7e4,8,TRUE
2274,0xa7f6ac5970fb743c07471e36ecb9347c141df7e4,0xa7f6ac5970fb743c07471e36ecb9347c141df7e4,8,TRUE
2275,0xa7fcdbd1497ed8a3de5b4eecaeb0affa018df67a,0xa7fcdbd1497ed8a3de5b4eecaeb0affa018df67a,19,TRUE
2276,0xa83606ce5cc21e050d9b2ae00a40126fb7899ae4,0xa83606ce5cc21e050d9b2ae00a40126fb7899ae4,12,TRUE
2277,0xa863eb34ec473cae2ab017c804e03318a2a82e9b,0xa863eb34ec473cae2ab017c804e03318a2a82e9b,0,TRUE
2278,0xa867fc6742f3508ce858d807643f93496fbddd25,0xa867fc6742f3508ce858d807643f93496fbddd25,20,TRUE
2279,0xa8780e654af05545ef41992edd34df0777d9739f,0xa8780e654af05545ef41992edd34df0777d9739f,2,TRUE
2280,0xa87c9ab04781aae911a00573b3ea070f221f2858,0xa87c9ab04781aae911a00573b3ea070f221f2858,12,TRUE
2281,0xa87c9ab04781aae911a00573b3ea070f221f2858,0xa87c9ab04781aae911a00573b3ea070f221f2858,12,TRUE
2282,0xa87c9ab04781aae911a00573b3ea070f221f2858,0xa87c9ab04781aae911a00573b3ea070f221f2858,18,TRUE
2283,0xa8811a290c1690c39732118331329373693d9e2a,0xa8811a290c1690c39732118331329373693d9e2a,0,TRUE
2284,0xa8811a290c1690c39732118331329373693d9e2a,0xa8811a290c1690c39732118331329373693d9e2a,0,TRUE
2285,0xa895d36aa41583a51d1604143c420759e7920926,0xa895d36aa41583a51d1604143c420759e7920926,2,TRUE
2286,0xa895d36aa41583a51d1604143c420759e7920926,0xa895d36aa41583a51d1604143c420759e7920926,2,TRUE
2287,0xa8a15e8d8061285758cbed91bb22cea46edf87d0,0xa8a15e8d8061285758cbed91bb22cea46edf87d0,18,TRUE
2288,0xa8adcb322aff222c7f9a0485d40324dbf02d3c1c,0xa8adcb322aff222c7f9a0485d40324dbf02d3c1c,16,TRUE
2289,0xa8adcb322aff222c7f9a0485d40324dbf02d3c1c,0xa8adcb322aff222c7f9a0485d40324dbf02d3c1c,2,TRUE
2290,0xa8be251884c363d2c918cdf93522129a2dfa47d5,0xa8be251884c363d2c918cdf93522129a2dfa47d5,6,TRUE
2291,0xa947c2bf7795bb43e923401da623391c1a4afa97,0xa947c2bf7795bb43e923401da623391c1a4afa97,8,TRUE
2292,0xa983dc4d3c30d11d8944e558b7187c9779e5de8f,0xa983dc4d3c30d11d8944e558b7187c9779e5de8f,20,TRUE
2293,0xa9998ed2c2af6d4bdb47a6ef168b3a9a6aeec3ab,0xa0154806082520f28414df5636203596ec38bb3a,1,FALSE
